Year,Not Stated or Unknown,Two or more races,American Indian,Hispanic,Black,Asian,White/Other,Total,Pacific Islander/Hawaiian
2004,1.2,12.6,4.8,5.2,12.0,2.9,4.6,5.2,7.9
2005,2.1,11.8,4.7,5.3,12.7,3.0,4.7,5.3,7.1
2006,0.7,10.3,6.6,5.1,11.5,3.1,4.4,5.0,6.3
2007,0.4,14.3,4.0,5.1,11.5,3.4,4.6,5.2,6.1
2008,0.4,10.5,5.4,5.2,12.1,3.1,4.2,5.1,6.0
2009,1.5,12.0,5.5,5.0,10.6,3.1,4.1,4.9,7.5
2010,1.2,10.3,7.9,4.9,9.5,2.7,4.1,4.7,7.2
2011,1.3,9.1,5.5,4.9,10.5,2.8,4.1,4.8,9.3
2012,0.6,7.7,4.0,4.7,9.8,2.9,3.8,4.5,3.9
2013,1.1,11.9,5.0,5.1,10.6,2.5,3.9,4.7,3.0
